configuration,run,population_size,generations,mutation_probability,mutation_scale,elitism,selection_percent,seed,random_seed,fitness_budget,ga_best_y,ga_x1,ga_x2,ga_x3,ga_x4,ga_x5,ga_x6,ga_x7,random_best_y,random_x1,random_x2,random_x3,random_x4,random_x5,random_x6,random_x7,ga_history
generations_100,1,100,100,5,0.5,10,70,101,10101,10100,-274.14649128782617,-2.9078800538560343,-2.9220507034328898,-2.915887979568479,-2.9143714603815214,-2.912102832862758,-2.9083850113907515,-2.888272543913017,-216.12592342796088,-2.8769604392847024,-3.392135212132464,2.330789651385982,2.165207078556824,-2.6798055586443636,-2.579362592926814,-1.6778717475955043,-151.7622002145425|-151.7622002145425|-163.87706535829096|-168.36572421784405|-182.2886327670268|-185.64527767848966|-195.76054561478475|-200.6876585550072|-208.85997111287728|-220.76922071563862|-224.05637114581438|-225.14208473202495|-228.75798991955742|-232.2431245118577|-232.2431245118577|-234.6869345281945|-235.2984894325399|-235.59381211775212|-249.2828655237869|-249.2828655237869|-252.15648042897146|-252.15648042897146|-255.2672497235131|-257.35893898884603|-257.35893898884603|-264.91383903854756|-264.91383903854756|-264.92897525119605|-267.10253358340424|-267.10253358340424|-269.68468704885413|-269.68468704885413|-269.68468704885413|-269.68468704885413|-271.94188612447914|-271.94188612447914|-273.0534399488456|-273.0534399488456|-273.359011564959|-273.359011564959|-273.3880544705804|-273.3880544705804|-273.5467847003974|-273.5467847003974|-273.5467847003974|-273.5467847003974|-273.7210993074789|-273.7210993074789|-273.7210993074789|-273.7210993074789|-273.7210993074789|-273.7210993074789|-273.7210993074789|-273.7210993074789|-273.7271041298035|-273.73835214440703|-273.76120068247576|-273.76120068247576|-273.76120068247576|-273.9140959172059|-273.99028227059193|-273.99028227059193|-274.0131308086606|-274.0131308086606|-274.0131308086606|-274.04450605323825|-274.04450605323825|-274.04450605323825|-274.08460742823513|-274.08460742823513|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.0941352218663|-274.09462377759985|-274.09462377759985|-274.09462377759985|-274.09462377759985|-274.1004263137741|-274.12304154680385|-274.12304154680385|-274.12304154680385|-274.12304154680385|-274.12304154680385|-274.12304154680385|-274.12353010253736|-274.14020019591834|-274.14020019591834|-274.14020019591834|-274.1421214311622|-274.14649128782617|-274.14649128782617
generations_100,2,100,100,5,0.5,10,70,102,10102,10100,-274.15414324205733,-2.8890608137139746,-2.8973254197713483,-2.8968369506951728,-2.901761298662244,-2.895494412588157,-2.9156008197437195,-2.907528539931565,-242.48928865247274,-3.3988275045404883,-2.872576170835326,-2.0339069079036562,-2.999106127945522,-2.9059399054307744,-1.6722642989710979,-2.737734226852313,-183.26682859162497|-183.26682859162497|-237.37347117109258|-237.37347117109258|-239.714140549906|-239.714140549906|-258.9936853005952|-262.0907979096855|-262.0907979096855|-264.2416058251503|-264.2416058251503|-266.7716174981058|-266.79707983673785|-267.704911933234|-268.2576327223422|-271.00233686354125|-271.00233686354125|-271.506292512227|-272.0904254768383|-272.0904254768383|-272.0904254768383|-272.5552264311922|-272.5552264311922|-273.16154213549055|-273.6292200525581|-273.6292200525581|-273.68014469209726|-273.7210354580452|-273.785496137137|-273.785496137137|-273.785496137137|-273.785496137137|-273.785496137137|-273.785496137137|-273.785496137137|-273.785496137137|-273.93126490437254|-273.93126490437254|-273.93126490437254|-273.93126490437254|-273.93126490437254|-273.93126490437254|-273.93126490437254|-273.93126490437254|-273.95642862791425|-273.95642862791425|-273.95642862791425|-273.95642862791425|-273.95642862791425|-273.95642862791425|-274.1010736745035|-274.1010736745035|-274.1010736745035|-274.1010736745035|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.10734709713046|-274.1242357578047|-274.1242357578047|-274.1242357578047|-274.1242357578047|-274.1242357578047|-274.1242357578047|-274.1242357578047|-274.12508805225565|-274.12873920960203|-274.12873920960203|-274.15067295316504|-274.15067295316504|-274.15067295316504|-274.15067295316504|-274.15067295316504|-274.15067295316504|-274.1510544789067|-274.1510544789067|-274.1510544789067|-274.1510544789067|-274.15135462645605|-274.15135462645605|-274.15135462645605|-274.15135462645605|-274.15327359027714|-274.15327359027714|-274.15327359027714|-274.15327359027714|-274.15327359027714|-274.15327359027714|-274.1535737378265|-274.1535737378265|-274.1535737378265|-274.15414324205733
generations_100,3,100,100,5,0.5,10,70,103,10103,10100,-274.1405658207682,-2.932656004788408,-2.9107616555085225,-2.91524103145863,-2.9086673940567733,-2.9020153285868573,-2.901466718768674,-2.9185732125866255,-221.91525287518544,-2.323394376520506,-3.307433043011818,-2.56296748486002,-2.5873266173836686,-3.788942947001855,2.0757491312958134,-3.3452560559270905,-177.2510376971332|-188.085941218873|-196.75114683937718|-201.42394878488992|-201.42394878488992|-201.71406658154106|-216.44845437814095|-217.82119018165352|-223.30001684026038|-237.92283959381285|-241.68981557920566|-241.68981557920566|-241.68981557920566|-249.15403546026403|-250.6157149770943|-251.0603034094094|-251.0603034094094|-252.48246757447066|-252.48246757447066|-257.0522089975121|-257.0522089975121|-257.0522089975121|-257.0522089975121|-257.0522089975121|-257.0522089975121|-261.97991577876945|-261.97991577876945|-261.97991577876945|-261.97991577876945|-261.97991577876945|-263.4431683915006|-264.45751287253563|-264.5393922352945|-268.76368526818214|-268.76368526818214|-268.76368526818214|-268.76368526818214|-271.784846192871|-272.79166262125085|-272.79166262125085|-273.1082913216249|-273.1082913216249|-273.1082913216249|-273.15691933104586|-273.27518193536906|-273.29698869421213|-273.32676838340444|-273.40156991060275|-273.52331996012003|-273.62929039420425|-273.62929039420425|-273.62929039420425|-273.62929039420425|-273.62929039420425|-273.6590142490842|-273.66292963203176|-273.8694775021157|-273.8694775021157|-273.8694775021157|-273.8694775021157|-273.9114823250551|-273.98286196652106|-273.98286196652106|-273.98286196652106|-273.98286196652106|-274.01665676503126|-274.0209839900968|-274.0209839900968|-274.0209839900968|-274.0209839900968|-274.0209839900968|-274.0209839900968|-274.03634938387387|-274.0508680651287|-274.05538785221637|-274.05538785221637|-274.10811064527707|-274.10811064527707|-274.12116069556595|-274.12116069556595|-274.12116069556595|-274.12116069556595|-274.12116069556595|-274.12116069556595|-274.12116069556595|-274.1276872515393|-274.1276872515393|-274.1276872515393|-274.1276872515393|-274.1276872515393|-274.13163953051105|-274.13163953051105|-274.1405658207682|-274.1405658207682|-274.1405658207682|-274.1405658207682|-274.1405658207682|-274.1405658207682|-274.1405658207682|-274.1405658207682|-274.1405658207682
generations_100,4,100,100,5,0.5,10,70,104,10104,10100,-274.13274980485585,-2.896273152472216,-2.9072248921638675,-2.877935358626954,-2.8903461547099853,-2.9089379102435906,-2.919679312990333,-2.8793887180502145,-230.42038841297955,-2.80281575786017,-3.073094238638289,-3.505981965756363,-2.069723989099165,-2.427046852999334,3.219832022648445,-2.292720812210003,-194.50791746980252|-194.50791746980252|-194.50791746980252|-198.0106920493085|-224.40334737541104|-224.40334737541104|-240.65166072434837|-243.66682214728712|-248.52638832985778|-248.52638832985778|-256.62059789663533|-259.77578453249436|-259.77578453249436|-259.9246078729026|-264.4003723375227|-266.91826993173083|-266.91826993173083|-266.91826993173083|-267.9246493303099|-270.9548777393409|-270.9548777393409|-271.03367175196263|-271.03367175196263|-271.9612571379199|-271.9612571379199|-271.9612571379199|-272.08308353661226|-272.08308353661226|-272.38486123039195|-272.4159501354259|-272.4159501354259|-272.53125973138964|-273.2706985685642|-273.2706985685642|-273.2706985685642|-273.2706985685642|-273.2706985685642|-273.2706985685642|-273.2706985685642|-273.4642614178137|-273.4642614178137|-273.4642614178137|-273.7054650539203|-273.7054650539203|-273.71154839518897|-273.76312983972537|-273.76312983972537|-273.76312983972537|-273.76312983972537|-273.76312983972537|-273.88456344114803|-273.88456344114803|-273.88456344114803|-273.88456344114803|-273.88456344114803|-273.93597265688425|-273.93597265688425|-273.93597265688425|-273.93597265688425|-273.9880425034127|-273.9880425034127|-273.9880425034127|-273.9880425034127|-273.9880425034127|-273.9880425034127|-274.0288716494921|-274.0534808166027|-274.0534808166027|-274.0534808166027|-274.0534808166027|-274.0796106486259|-274.0796106486259|-274.0796106486259|-274.0796106486259|-274.0796106486259|-274.0796106486259|-274.0796106486259|-274.0922064360686|-274.09425668035806|-274.09425668035806|-274.09425668035806|-274.09425668035806|-274.09425668035806|-274.09425668035806|-274.09425668035806|-274.09425668035806|-274.1073208805643|-274.1233266322402|-274.1233266322402|-274.1233266322402|-274.1233266322402|-274.1233266322402|-274.1233266322402|-274.1275185188573|-274.1275185188573|-274.12855791823876|-274.12855791823876|-274.12855791823876|-274.12855791823876|-274.12855791823876|-274.13274980485585
generations_100,5,100,100,5,0.5,10,70,105,10105,10100,-274.1449813264344,-2.9046294010514364,-2.9071674662031795,-2.8994835225065243,-2.899475438014764,-2.9031038394583435,-2.9216678757853827,-2.9293646402001987,-222.60351587544682,-3.2049770153732404,-2.195131917942761,-2.272072367974637,1.9857749322470823,-2.868200903425392,3.0017581105784785,-3.2270980921311487,-174.25324162852579|-180.39883479876354|-186.0318989785561|-205.45413605253412|-208.89810952689322|-215.17826028713802|-219.7724372675817|-226.57970490387606|-229.69942788322402|-229.69942788322402|-236.5491198684093|-240.8216976665955|-240.8216976665955|-241.99391228932328|-248.18103818642544|-248.18103818642544|-248.93841943057308|-251.76634450342465|-251.76634450342465|-254.07533011973683|-266.2256151040369|-266.2256151040369|-266.2256151040369|-266.2256151040369|-270.44528588676684|-270.44528588676684|-271.03567294217913|-271.03567294217913|-271.03567294217913|-271.8362572182211|-273.2201089013781|-273.2201089013781|-273.2201089013781|-273.2201089013781|-273.2201089013781|-273.2201089013781|-273.78984441096424|-273.78984441096424|-273.78984441096424|-273.78984441096424|-273.78984441096424|-273.78984441096424|-273.7957564577691|-273.7957564577691|-273.7957564577691|-273.7957564577691|-273.7957564577691|-273.90349955843647|-273.90349955843647|-273.90349955843647|-273.90349955843647|-273.90349955843647|-273.9468680174876|-273.9468680174876|-273.9468680174876|-273.9468680174876|-273.95254501406356|-273.95254501406356|-273.95254501406356|-273.95470946216693|-273.9549445123958|-273.9549445123958|-273.98907008466335|-273.98907008466335|-274.02978019203823|-274.02978019203823|-274.0381155402905|-274.0381155402905|-274.0381155402905|-274.03835059051937|-274.03835059051937|-274.03835059051937|-274.03835059051937|-274.03835059051937|-274.0609809154064|-274.0609809154064|-274.0609809154064|-274.0609809154064|-274.06879760143363|-274.06879760143363|-274.06879760143363|-274.07127603232766|-274.07127603232766|-274.07805687008147|-274.1087389312246|-274.1087389312246|-274.1087389312246|-274.1282841213838|-274.1282841213838|-274.1282841213838|-274.14411451894256|-274.14411451894256|-274.14411451894256|-274.14411451894256|-274.14411451894256|-274.14411451894256|-274.1449813264344|-274.1449813264344|-274.1449813264344|-274.1449813264344|-274.1449813264344
generations_100,6,100,100,5,0.5,10,70,106,10106,10100,-274.14868569672893,-2.9017870010982576,-2.9227011258609696,-2.9000573607622067,-2.9035035789048615,-2.905058123249731,-2.8842403820464075,-2.9124670767644005,-224.68821475973266,-3.9330136410632943,-2.822297862550389,2.2417840454997817,-2.7486175848179215,-2.6666921802550805,-2.2864210730689027,-2.7544707714991845,-189.5949283796713|-189.5949283796713|-207.9561974655552|-219.80582841248636|-219.80582841248636|-219.80582841248636|-232.04761430416693|-254.49388562357896|-254.49388562357896|-254.49388562357896|-262.25071303069524|-262.25071303069524|-262.25071303069524|-265.3860820272121|-265.3860820272121|-265.3860820272121|-268.94011255487453|-268.97636307479934|-268.97636307479934|-268.97636307479934|-268.97636307479934|-269.7002637729697|-269.84513184540833|-271.14363935371466|-271.2366948648249|-271.2366948648249|-271.2366948648249|-271.36226994733937|-272.35995453666953|-272.35995453666953|-272.35995453666953|-272.35995453666953|-273.06665300710466|-273.3139845704634|-273.3139845704634|-273.3139845704634|-273.5337552724415|-273.5337552724415|-273.5337552724415|-273.5337552724415|-273.5337552724415|-273.5337552724415|-273.77650104364744|-273.77650104364744|-273.77650104364744|-273.77650104364744|-273.77650104364744|-273.77650104364744|-273.77650104364744|-273.77650104364744|-273.7948715393704|-273.7948715393704|-273.7948715393704|-273.7948715393704|-273.97806358161375|-273.97806358161375|-273.97806358161375|-273.97806358161375|-274.0335731134778|-274.0335731134778|-274.0335731134778|-274.0335731134778|-274.03521546849703|-274.0422338195737|-274.0672409119927|-274.0672409119927|-274.0672409119927|-274.0672409119927|-274.0740681342458|-274.0740681342458|-274.0740825397596|-274.08788307719215|-274.08788307719215|-274.08788307719215|-274.08788307719215|-274.08788307719215|-274.09446654431997|-274.09446654431997|-274.09446654431997|-274.09446654431997|-274.09710279909575|-274.09710279909575|-274.09710279909575|-274.1275268686949|-274.1275268686949|-274.1275268686949|-274.1275268686949|-274.1275268686949|-274.14025415190457|-274.14025415190457|-274.14025415190457|-274.14025415190457|-274.14271146910414|-274.14271146910414|-274.14271146910414|-274.14271146910414|-274.14868569672893|-274.14868569672893|-274.14868569672893|-274.14868569672893|-274.14868569672893
generations_100,7,100,100,5,0.5,10,70,107,10107,10100,-274.15291973754984,-2.902298374750202,-2.9174347462485613,-2.909957708413098,-2.9075135987400547,-2.889551104560117,-2.8917596652491793,-2.9061107241320476,-225.85998393095923,-2.5225134157205797,3.230250178001562,-2.7821298321630206,-3.2038978687223874,-2.8658138864166407,-1.5545903051058652,-2.1768615844518746,-173.04263249712506|-177.3648122283526|-183.59359801068172|-203.83485762231447|-203.83485762231447|-218.16235942559138|-218.16235942559138|-218.16235942559138|-224.26141882421172|-225.796921758756|-225.796921758756|-233.05294418644075|-253.91088928874495|-253.91088928874495|-257.60314665269135|-260.09125970955984|-260.09125970955984|-260.09125970955984|-260.48148613647083|-260.7254950222765|-262.12914422204136|-265.8502425971574|-266.56661027911855|-267.13497892219885|-267.13497892219885|-269.79886314285017|-270.2214228066555|-271.1043999741746|-271.48537202777885|-271.48537202777885|-271.5262469324204|-271.92722272842263|-272.7148896715879|-272.7148896715879|-272.7148896715879|-272.7148896715879|-273.08131219700215|-273.08131219700215|-273.32352004447057|-273.32352004447057|-273.32352004447057|-273.5446568237408|-273.5446568237408|-273.5446568237408|-273.61677818446515|-273.61677818446515|-273.61677818446515|-273.7138697820614|-273.7138697820614|-273.78599114278575|-273.78599114278575|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9057470252398|-273.9465467138671|-273.9465467138671|-273.9465795720072|-273.9465795720072|-274.0187009327315|-274.0187009327315|-274.0187009327315|-274.0187009327315|-274.0257791827587|-274.05950062135884|-274.05950062135884|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13665595896515|-274.13680914382996|-274.13680914382996|-274.13680914382996|-274.13680914382996|-274.13680914382996|-274.13680914382996|-274.13680914382996|-274.1419214011506|-274.1419214011506|-274.1419214011506|-274.14207458601544|-274.14207458601544|-274.14207458601544|-274.14207458601544|-274.14207458601544|-274.15291973754984|-274.15291973754984|-274.15291973754984
generations_100,8,100,100,5,0.5,10,70,108,10108,10100,-274.14086539988955,-2.897206086507636,-2.8959392015397207,-2.9199390166612003,-2.925841006450411,-2.9061229943343485,-2.920315510011681,-2.9149131306643863,-237.05795912385298,-2.3648736367909406,-2.866448267139993,-2.637834348207706,-3.2914374863464593,-2.3681264305653182,-1.2515258885422051,-2.8664339276511805,-191.8969775632986|-191.8969775632986|-191.8969775632986|-191.8969775632986|-206.3438824740736|-206.3438824740736|-216.99585761157152|-216.99585761157152|-221.1949154296321|-225.42499436548445|-250.0783818651051|-250.0783818651051|-256.459051538258|-256.459051538258|-256.46818344006255|-257.01047075892575|-259.22939808821985|-261.2330422210785|-262.0168702794353|-262.0168702794353|-262.49565784684444|-263.913192183118|-264.0351915741742|-265.4555430167175|-265.4555430167175|-266.9473077655805|-268.29881899990403|-268.29881899990403|-268.8659820932489|-268.8659820932489|-272.285205928963|-272.285205928963|-272.285205928963|-272.285205928963|-272.2919391132209|-272.43253541842694|-273.585903940098|-273.585903940098|-273.585903940098|-273.585903940098|-273.7567965759123|-273.7567965759123|-273.7567965759123|-273.7567965759123|-273.7567965759123|-273.7567965759123|-273.7567965759123|-273.7698941732716|-273.7698941732716|-273.9077604518576|-273.9077604518576|-273.9077604518576|-273.9077604518576|-273.9077604518576|-273.9600761843167|-273.9668093685746|-273.973173781676|-273.973173781676|-273.973173781676|-273.973173781676|-273.973173781676|-273.973173781676|-273.973173781676|-273.973173781676|-273.9914431588994|-273.9914431588994|-274.05349210869394|-274.05349210869394|-274.05349210869394|-274.05349210869394|-274.05349210869394|-274.05349210869394|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.09629101067725|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.097674019311|-274.09787363804236|-274.0980616852927|-274.0980616852927|-274.0996443126578|-274.0996443126578|-274.14086539988955|-274.14086539988955|-274.14086539988955|-274.14086539988955
generations_100,9,100,100,5,0.5,10,70,109,10109,10100,-260.0102247497184,-2.9141528864612036,-2.914182946413637,-2.9263058080120117,-2.907980691570679,2.7358206022301017,-2.8957340302308587,-2.9060174002329733,-235.21108986335776,-3.1005417856267927,-2.7977661893879633,2.711099154640463,-3.126552383425948,-2.8146035644666267,3.246181337687254,-3.3679344456561013,-175.2647530963705|-175.2647530963705|-193.80045334902888|-193.80045334902888|-193.80045334902888|-212.8512440418933|-213.23514622033161|-221.60238472814652|-221.89023344739076|-225.26828621423903|-234.44794585996672|-234.44794585996672|-234.44794585996672|-236.43436497935875|-246.3030634284365|-246.42109024012402|-246.42109024012402|-249.78318439579365|-249.78318439579365|-250.124437673853|-250.84109392261811|-253.02827724466707|-254.628009233213|-254.66736692294927|-256.07426498483824|-256.77283198358055|-256.79092123360334|-256.79092123360334|-257.5864976729325|-257.5864976729325|-258.44940436623557|-258.44940436623557|-258.44940436623557|-259.40822160303264|-259.40822160303264|-259.40822160303264|-259.40822160303264|-259.40822160303264|-259.40822160303264|-259.40822160303264|-259.40822160303264|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.75229068930366|-259.8650795196353|-259.8650795196353|-259.8806092873525|-259.8806092873525|-259.8806092873525|-259.8806092873525|-259.9009403214019|-259.90654544486375|-259.90654544486375|-259.90654544486375|-259.922075212581|-259.922075212581|-259.922075212581|-259.922075212581|-259.922075212581|-259.922075212581|-259.9303451996292|-259.9303451996292|-259.9303451996292|-259.9303451996292|-259.9415111862827|-259.94993742301364|-259.94993742301364|-259.94993742301364|-259.94993742301364|-259.94993742301364|-259.9564637813398|-259.9564637813398|-259.9728180387954|-259.97397918052735|-259.97397918052735|-259.97397918052735|-259.99527215466134|-259.99527215466134|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184|-260.0102247497184
generations_100,10,100,100,5,0.5,10,70,110,10110,10100,-274.1353914907735,-2.8891908215920887,-2.889445793432915,-2.902098896538825,-2.9073607078704624,-2.8712636485647116,-2.9067912757303116,-2.8914199325541596,-233.9936285248939,-3.209337182546043,-2.5726101261282786,3.6812393860474586,-2.3793057001268214,-2.8700598836809075,-2.8477265904824653,-3.1222169025735713,-194.41130411522406|-201.55801025020259|-215.53433168808732|-222.64663227845978|-251.32177555030646|-251.32177555030646|-251.32177555030646|-254.13955339950226|-254.13955339950226|-254.13955339950226|-255.65032881755528|-263.7387291066036|-263.7387291066036|-267.24023701894424|-267.24023701894424|-267.9162913625254|-267.9162913625254|-267.9162913625254|-269.9461755636333|-269.9461755636333|-269.9461755636333|-270.3051211185948|-270.3051211185948|-270.3051211185948|-270.54089985444796|-271.1252200238125|-271.4870477773653|-271.76573485888764|-271.7944166307099|-271.9210433271577|-272.1124188720784|-272.43569697817674|-272.43569697817674|-272.7213428367935|-273.46784636798463|-273.46784636798463|-273.46784636798463|-273.54601651174|-273.900793543062|-273.900793543062|-273.90116785659086|-273.90116785659086|-273.90140868006927|-273.90140868006927|-273.9045699006522|-273.95315186823046|-273.95315186823046|-274.02235579039234|-274.02235579039234|-274.02235579039234|-274.02235579039234|-274.02235579039234|-274.03868116862384|-274.03868116862384|-274.03868116862384|-274.03868116862384|-274.03868116862384|-274.03868116862384|-274.03868116862384|-274.03868116862384|-274.0704711030093|-274.0851379067777|-274.0851379067777|-274.0851379067777|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.0882727154513|-274.1060747231225|-274.1060747231225|-274.1103403463543|-274.1103403463543|-274.1103403463543|-274.1267678032196|-274.1267678032196|-274.1310334264514|-274.1310334264514|-274.1310334264514|-274.1310334264514|-274.13395756390827|-274.13395756390827|-274.13395756390827|-274.1343164504813|-274.1343164504813|-274.1343164504813|-274.1353914907735|-274.1353914907735|-274.1353914907735|-274.1353914907735|-274.1353914907735|-274.1353914907735|-274.1353914907735
